state_name,State,District,Population,Confirmed,Deceased,Recovered,Tested,Vaccinated1,Vaccinated2
Andaman and Nicobar Islands,AN,Nicobars,36842,0,0,0,0,25394,20313
Andaman and Nicobar Islands,AN,North and Middle Andaman,105597,0,0,0,0,78945,59522
Andaman and Nicobar Islands,AN,South Andaman,238142,0,0,0,0,189662,120322
Andaman and Nicobar Islands,AN,Unknown,238142,7651,129,7518,0,0,0
Andhra Pradesh,AP,Anantapur,4083315,157843,1093,156699,787085,2690082,1611476
Andhra Pradesh,AP,Chittoor,4170468,246935,1947,244144,780322,2832987,1807873
Andhra Pradesh,AP,East Godavari,5151549,293836,1290,291610,944746,3532220,1990578
Andhra Pradesh,AP,Foreign Evacuees,5151549,434,0,434,0,0,0
Andhra Pradesh,AP,Guntur,4889230,178068,1237,176629,833823,3440118,1891773
Andhra Pradesh,AP,Krishna,4529009,119348,1430,117130,782232,2971604,1914927
Andhra Pradesh,AP,Kurnool,4046601,124142,853,123264,867361,2672759,1290419
Andhra Pradesh,AP,Other State,4046601,2461,0,2461,0,0,0
Andhra Pradesh,AP,Prakasam,3392764,138482,1124,136989,697340,2321031,1521177
Andhra Pradesh,AP,S.P.S. Nellore,2966082,146388,1053,144919,682964,2143402,1403240
Andhra Pradesh,AP,Srikakulam,2699471,123109,786,122136,670899,1630248,974734
Andhra Pradesh,AP,Visakhapatnam,4288113,157737,1127,156492,744983,2999432,1864960
Andhra Pradesh,AP,Vizianagaram,2342868,82967,672,82231,531433,1393491,996097
Andhra Pradesh,AP,West Godavari,3934782,179077,1117,177680,793098,2525317,1778807
Andhra Pradesh,AP,Y.S.R. Kadapa,2884524,115623,644,114904,671761,1824032,1328711
Arunachal Pradesh,AR,Anjaw,21089,1068,3,1065,2845,11695,7957
Arunachal Pradesh,AR,Capital Complex,21089,0,0,0,115210,0,0
Arunachal Pradesh,AR,Changlang,147951,3807,22,3780,23861,88857,55361
Arunachal Pradesh,AR,East Kameng,78413,1094,0,1094,7489,22931,15646
Arunachal Pradesh,AR,East Siang,99019,3206,17,3183,21867,54001,39434
Arunachal Pradesh,AR,Kamle,22256,512,0,512,1385,6946,3874
Arunachal Pradesh,AR,Kra Daadi,22256,270,0,270,3218,6275,3272
Arunachal Pradesh,AR,Kurung Kumey,89717,511,1,510,4201,9121,5601
Arunachal Pradesh,AR,Lepa Rada,89717,874,3,871,6747,13328,10176
Arunachal Pradesh,AR,Lohit,145538,2885,26,2851,14945,31120,22003
Arunachal Pradesh,AR,Longding,60000,752,2,749,10342,19259,7826
Arunachal Pradesh,AR,Lower Dibang Valley,53986,2426,11,2397,12169,32639,22089
Arunachal Pradesh,AR,Lower Siang,80597,738,8,730,7070,16565,9990
Arunachal Pradesh,AR,Lower Subansiri,82839,3036,15,3015,10564,26916,18827
Arunachal Pradesh,AR,Namsai,95950,2124,17,2102,19987,63539,47104
Arunachal Pradesh,AR,Pakke Kessang,95950,453,0,453,3327,8004,4998
Arunachal Pradesh,AR,Papum Pare,176385,18316,98,18212,41960,141168,100258
Arunachal Pradesh,AR,Shi Yomi,13310,262,0,261,2169,6910,5663
Arunachal Pradesh,AR,Siang,31920,411,3,408,4270,14408,9068
Arunachal Pradesh,AR,Tawang,49950,2577,20,2533,14224,29553,23287
Arunachal Pradesh,AR,Tirap,111997,1109,5,1102,14657,31565,21200
Arunachal Pradesh,AR,Upper Dibang Valley,7948,337,2,335,1910,4156,2603
Arunachal Pradesh,AR,Upper Siang,35289,1016,1,1015,6564,18594,13671
Arunachal Pradesh,AR,Upper Subansiri,83205,1958,6,1952,6217,24842,16390
Arunachal Pradesh,AR,West Kameng,87013,3545,14,3518,28155,55710,40321
Arunachal Pradesh,AR,West Siang,112272,1868,6,1856,13192,33773,27867
Assam,AS,Baksa,953773,0,0,0,0,553967,136574
Assam,AS,Barpeta,1693190,0,0,0,0,1095048,448006
Assam,AS,Biswanath,612491,0,0,0,0,456088,213437
Assam,AS,Bongaigaon,732639,0,0,0,0,493242,183782
Assam,AS,Cachar,1736319,0,0,0,0,1101266,402535
Assam,AS,Charaideo,1736319,0,0,0,0,309125,111219
Assam,AS,Chirang,481818,0,0,0,0,288696,102397
Assam,AS,Darrang,908090,0,0,0,0,596783,183724
Assam,AS,Dhemaji,688077,0,0,0,0,431792,184251
Assam,AS,Dhubri,1948632,0,0,0,0,945264,229696
Assam,AS,Dibrugarh,1327748,0,0,0,301657,914640,430800
Assam,AS,Dima Hasao,213529,0,0,0,0,116318,62593
Assam,AS,Goalpara,1008959,0,0,0,0,662016,195521
Assam,AS,Golaghat,1058674,0,0,0,0,711564,306745
Assam,AS,Hailakandi,659260,0,0,0,0,422295,146888
Assam,AS,Hojai,931218,0,0,0,0,602504,274035
Assam,AS,Jorhat,1091295,0,0,0,0,649267,297724
Assam,AS,Kamrup,1517202,0,0,0,0,1079092,409628
Assam,AS,Kamrup Metropolitan,1260419,0,0,0,0,1246239,875897
Assam,AS,Karbi Anglong,965280,0,0,0,0,284600,102798
Assam,AS,Karimganj,1217002,0,0,0,0,681216,203575
Assam,AS,Kokrajhar,886999,0,0,0,0,538901,156488
Assam,AS,Lakhimpur,1040644,0,0,0,0,681386,301369
Assam,AS,Majuli,167304,0,0,0,0,117599,82507
Assam,AS,Morigaon,957853,0,0,0,0,592446,212146
Assam,AS,Nagaon,2826006,0,0,0,0,1203831,448081
Assam,AS,Nalbari,769919,0,0,0,0,483076,168392
Assam,AS,Sivasagar,1150253,0,0,0,0,478954,223921
Assam,AS,Sonitpur,1925975,0,0,0,0,767841,434213
Assam,AS,South Salmara Mankachar,555114,0,0,0,0,239906,76599
Assam,AS,Tinsukia,1316948,0,0,0,0,795057,286170
Assam,AS,Udalguri,832769,0,0,0,24661,504439,133919
Assam,AS,Unknown,832769,610645,5997,600974,0,0,0
Assam,AS,West Karbi Anglong,300320,0,0,0,0,127612,42942
Bihar,BR,Araria,2806200,14978,116,14859,219221,1177154,395227
Bihar,BR,Arwal,700843,7381,74,7307,101624,345175,116424
Bihar,BR,Aurangabad,2511243,20011,75,19936,412007,1132482,407913
Bihar,BR,Banka,2029339,7379,112,7267,364776,935177,351254
Bihar,BR,Begusarai,2954367,27212,457,26754,213670,1430906,480982
Bihar,BR,Bhagalpur,3032226,25840,309,25531,582113,1494951,650332
Bihar,BR,Bhojpur,2720155,10210,159,10051,466438,1291186,382719
Bihar,BR,Buxar,1707643,9248,182,9066,461428,907374,322555
Bihar,BR,Darbhanga,3921971,10937,370,10567,448442,1869372,741553
Bihar,BR,East Champaran,5082868,19017,430,18585,548132,2498559,1002939
Bihar,BR,Gaya,4379383,33952,280,33672,872359,1925234,722746
Bihar,BR,Gopalganj,2558037,16685,94,16591,562654,1286763,481968
Bihar,BR,Jamui,1756078,9418,106,9312,342005,800488,222093
Bihar,BR,Jehanabad,1124176,10783,109,10674,492255,498448,184446
Bihar,BR,Kaimur,1626900,4984,147,4837,442332,801438,225437
Bihar,BR,Katihar,3068149,18145,94,18051,556438,1451838,403046
Bihar,BR,Khagaria,1657599,10064,88,9976,148340,775019,222012
Bihar,BR,Kishanganj,1690948,10128,66,10057,294321,757066,205274
Bihar,BR,Lakhisarai,1000717,7776,102,7674,332434,461970,138407
Bihar,BR,Madhepura,1994618,12547,111,12435,455482,965767,260408
Bihar,BR,Madhubani,4476044,18365,339,18023,715168,1974159,680214
Bihar,BR,Munger,1359054,15111,158,14953,325212,707588,264665
Bihar,BR,Muzaffarpur,4778610,31398,621,30777,722651,2253919,717015
Bihar,BR,Nalanda,2872523,23432,468,22964,591346,1393762,638181
Bihar,BR,Nawada,2216653,10353,178,10174,322514,1062349,274319
Bihar,BR,Patna,5772804,147007,2334,144651,676238,3421614,2366474
Bihar,BR,Purnia,3273127,24427,180,24247,568756,1603099,729224
Bihar,BR,Rohtas,2962593,13980,271,13707,521553,1498172,465660
Bihar,BR,Saharsa,1897102,17616,134,17482,356327,995618,366567
Bihar,BR,Samastipur,4254782,20020,155,19864,614569,1991102,555728
Bihar,BR,Saran,3943098,23278,255,23020,761473,1868014,736766
Bihar,BR,Sheikhpura,634927,7693,75,7618,142348,287209,95322
Bihar,BR,Sheohar,656916,4404,36,4368,199431,300967,108766
Bihar,BR,Sitamarhi,3419622,9185,127,9058,453227,1511464,424182
Bihar,BR,Siwan,3318176,15195,170,15025,536438,1670590,684755
Bihar,BR,Supaul,2228397,17222,129,17093,456511,1069993,369925
Bihar,BR,Vaishali,3495021,19827,192,19632,275884,1671469,478638
Bihar,BR,West Champaran,3935042,20890,358,20532,551778,1784016,469332
Chandigarh,CH,Chandigarh,1055450,65351,820,64495,792851,926035,546981
Chhattisgarh,CT,Balod,826165,27278,396,26880,2749,537459,271570
Chhattisgarh,CT,Baloda Bazar,1305343,43085,471,42611,3816,617777,211945
Chhattisgarh,CT,Balrampur,598855,20302,118,20182,21481,305554,112777
Chhattisgarh,CT,Bametara,197035,19963,236,19726,3113,405388,132925
Chhattisgarh,CT,Bastar,1302253,21066,188,20845,4522,443759,178775
Chhattisgarh,CT,Bijapur,229832,8324,55,8263,1239,103247,44245
Chhattisgarh,CT,Bilaspur,1961922,65681,1210,64448,9823,1031494,525066
Chhattisgarh,CT,Dakshin Bastar Dantewada,533638,10840,25,10809,1168,158243,80855
Chhattisgarh,CT,Dhamtari,799199,27239,545,26690,1501,509782,224591
Chhattisgarh,CT,Durg,3343079,96880,1798,95028,5020,1012391,525445
Chhattisgarh,CT,Gariaband,597653,19701,194,19506,2096,293987,99137
Chhattisgarh,CT,Gaurela Pendra Marwahi,597653,12011,146,11864,273,189474,79788
Chhattisgarh,CT,Janjgir Champa,1620632,57636,838,56766,4016,896087,317605
Chhattisgarh,CT,Jashpur,852043,27093,212,26867,2542,435884,182747
Chhattisgarh,CT,Kabeerdham,584667,22771,267,22503,2829,402362,173494
Chhattisgarh,CT,Kondagaon,578326,13139,99,13036,1607,317695,100468
Chhattisgarh,CT,Korba,1206563,54847,580,54228,10034,650457,287588
Chhattisgarh,CT,Koriya,659039,26980,177,26798,2689,375503,128177
Chhattisgarh,CT,Mahasamund,1032275,31365,365,31000,2183,738333,428365
Chhattisgarh,CT,Mungeli,701707,23921,167,23753,2922,282508,109857
Chhattisgarh,CT,Narayanpur,140206,4019,14,4005,804,53032,19468
Chhattisgarh,CT,Other State,140206,805,131,666,0,0,0
Chhattisgarh,CT,Raigarh,1493627,62590,978,61597,5084,1074306,967326
Chhattisgarh,CT,Raipur,4062160,158035,3139,154852,12704,1557999,915437
Chhattisgarh,CT,Rajnandgaon,1537520,56077,515,55557,124947,1028876,530711
Chhattisgarh,CT,Sukma,249000,8066,20,8041,1723,134654,81437
Chhattisgarh,CT,Surajpur,660280,29029,224,28805,1830,419247,163526
Chhattisgarh,CT,Surguja,420661,33673,245,33426,103578,468885,277031
Chhattisgarh,CT,Uttar Bastar Kanker,748593,23636,224,23407,2051,405744,171484
Delhi,DL,Delhi,19814000,1439870,25091,1414431,29427753,13055636,7425404
Dadra and Nagar Haveli and Daman and Diu,DN,Dadra and Nagar Haveli,343709,5920,3,5910,44813,387772,183553
Dadra and Nagar Haveli and Daman and Diu,DN,Daman,191173,3543,1,3516,19338,234202,155547
Dadra and Nagar Haveli and Daman and Diu,DN,Diu,52074,1218,0,1218,8259,38779,31153
Goa,GA,North Goa,817761,0,0,0,0,600586,424066
Goa,GA,South Goa,639962,0,0,0,0,661972,487016
Goa,GA,Unknown,639962,178108,3364,174392,0,0,0
Gujarat,GJ,Ahmedabad,7208200,238334,3411,234889,2556492,5961594,3439921
Gujarat,GJ,Amreli,1513614,10810,102,10708,212265,927389,551970
Gujarat,GJ,Anand,2090276,9637,49,9581,171851,1471865,935893
Gujarat,GJ,Aravalli,1051746,5186,78,5108,122182,717964,522361
Gujarat,GJ,Banaskantha,3116045,13631,162,13469,218527,2140492,1157901
Gujarat,GJ,Bharuch,1550822,11426,118,11308,156057,1217587,669742
Gujarat,GJ,Bhavnagar,2877961,21447,301,21143,392834,1680398,986097
Gujarat,GJ,Botad,656005,2218,42,2176,98559,378232,228691
Gujarat,GJ,Chhota Udaipur,1071831,3395,38,3357,93838,635695,420157
Gujarat,GJ,Dahod,2126558,9955,38,9917,218259,1499052,631818
Gujarat,GJ,Dang,226769,866,18,848,31921,156334,59262
Gujarat,GJ,Devbhumi Dwarka,752484,4175,82,4093,80424,504501,309771
Gujarat,GJ,Gandhinagar,1387478,20754,205,20549,292598,1175562,706208
Gujarat,GJ,Gir Somnath,1217477,8570,67,8499,121948,845224,363467
Gujarat,GJ,Jamnagar,2159130,34978,478,34494,307911,1111813,653950
Gujarat,GJ,Junagadh,2742291,20505,272,20226,199699,1316479,733025
Gujarat,GJ,Kheda,2298934,10439,48,10391,218140,1454344,893742
Gujarat,GJ,Kutch,2090313,12631,145,12474,267060,1412923,680232
Gujarat,GJ,Mahisagar,994624,8194,72,8122,122796,815594,459520
Gujarat,GJ,Mehsana,2027727,24419,177,24242,229904,1405786,869969
Gujarat,GJ,Morbi,960329,6502,87,6415,157321,674000,308840
Gujarat,GJ,Narmada,590379,5955,15,5940,76134,413260,279684
Gujarat,GJ,Navsari,1330711,7215,24,7181,129099,948673,647484
Gujarat,GJ,Other State,1330711,162,3,159,108,0,0
Gujarat,GJ,Panchmahal,2388267,11770,70,11700,160981,1105110,626003
Gujarat,GJ,Patan,1342746,11624,129,11495,169059,850462,533438
Gujarat,GJ,Porbandar,586062,3486,19,3467,97912,419364,256377
Gujarat,GJ,Rajkot,3157676,57976,725,57243,731251,2227111,1255012
Gujarat,GJ,Sabarkantha,2427346,9317,157,9159,182090,1000517,596705
Gujarat,GJ,Surat,4996391,143874,1956,141885,1938229,4781894,2529712
Gujarat,GJ,Surendranagar,1755873,8121,136,7985,201153,1113845,715931
Gujarat,GJ,Tapi,806489,4441,24,4417,92524,527345,303297
Gujarat,GJ,Vadodara,3639775,78159,788,77335,695670,2612578,1940514
Gujarat,GJ,Valsad,1703068,6405,53,6308,155380,1232139,704675
Himachal Pradesh,HP,Bilaspur,382056,14374,85,14120,39738,323204,234916
Himachal Pradesh,HP,Chamba,518844,13687,160,13492,53505,364258,198146
Himachal Pradesh,HP,Hamirpur,454293,17379,287,16741,46407,377332,269143
