state,state_short,date,delta_confirmed,delta_recovered,delta_deceased,delta_tested,delta_vaccinated_1,delta_vaccinated_2
Andaman and Nicobar Islands,AN,2020-03-26,1,0,0,0,0,0
Andaman and Nicobar Islands,AN,2020-03-27,5,0,0,0,0,0
Andaman and Nicobar Islands,AN,2020-03-28,3,0,0,0,0,0
Andaman and Nicobar Islands,AN,2020-03-30,1,0,0,0,0,0
Andaman and Nicobar Islands,AN,2020-04-08,1,0,0,0,0,0
Andaman and Nicobar Islands,AN,2020-04-09,0,10,0,0,0,0
Andaman and Nicobar Islands,AN,2020-04-16,0,1,0,0,0,0
Andaman and Nicobar Islands,AN,2020-04-17,1,0,0,1403,0,0
Andaman and Nicobar Islands,AN,2020-04-18,2,0,0,0,0,0
Andaman and Nicobar Islands,AN,2020-04-19,1,0,0,0,0,0
Andaman and Nicobar Islands,AN,2020-04-20,1,0,0,0,0,0
Andaman and Nicobar Islands,AN,2020-04-21,1,0,0,0,0,0
Andaman and Nicobar Islands,AN,2020-04-22,1,0,0,0,0,0
Andaman and Nicobar Islands,AN,2020-04-23,4,0,0,0,0,0
Andaman and Nicobar Islands,AN,2020-04-24,7,0,0,1276,0,0
Andaman and Nicobar Islands,AN,2020-04-25,4,0,0,0,0,0
Andaman and Nicobar Islands,AN,2020-04-27,0,0,0,169,0,0
Andaman and Nicobar Islands,AN,2020-04-28,0,4,0,0,0,0
Andaman and Nicobar Islands,AN,2020-04-30,0,1,0,0,0,0
Andaman and Nicobar Islands,AN,2020-05-01,0,0,0,906,0,0
Andaman and Nicobar Islands,AN,2020-05-02,0,10,0,0,0,0
Andaman and Nicobar Islands,AN,2020-05-03,0,6,0,0,0,0
Andaman and Nicobar Islands,AN,2020-05-07,0,1,0,0,0,0
Andaman and Nicobar Islands,AN,2020-05-16,0,0,0,2923,0,0
Andaman and Nicobar Islands,AN,2020-05-19,0,0,0,288,0,0
Andaman and Nicobar Islands,AN,2020-05-20,0,0,0,117,0,0
Andaman and Nicobar Islands,AN,2020-05-21,0,0,0,85,0,0
Andaman and Nicobar Islands,AN,2020-05-22,0,0,0,96,0,0
Andaman and Nicobar Islands,AN,2020-05-23,0,0,0,64,0,0
Andaman and Nicobar Islands,AN,2020-05-25,0,0,0,36,0,0
Andaman and Nicobar Islands,AN,2020-05-26,0,0,0,85,0,0
Andaman and Nicobar Islands,AN,2020-05-27,0,0,0,51,0,0
Andaman and Nicobar Islands,AN,2020-05-28,0,0,0,20,0,0
Andaman and Nicobar Islands,AN,2020-05-29,0,0,0,48,0,0
Andaman and Nicobar Islands,AN,2020-05-31,0,0,0,139,0,0
Andaman and Nicobar Islands,AN,2020-06-01,0,0,0,99,0,0
Andaman and Nicobar Islands,AN,2020-06-02,0,0,0,281,0,0
Andaman and Nicobar Islands,AN,2020-06-03,0,0,0,209,0,0
Andaman and Nicobar Islands,AN,2020-06-04,0,0,0,118,0,0
Andaman and Nicobar Islands,AN,2020-06-05,0,0,0,281,0,0
Andaman and Nicobar Islands,AN,2020-06-06,0,0,0,343,0,0
Andaman and Nicobar Islands,AN,2020-06-07,0,0,0,205,0,0
Andaman and Nicobar Islands,AN,2020-06-08,0,0,0,99,0,0
Andaman and Nicobar Islands,AN,2020-06-09,1,0,0,518,0,0
Andaman and Nicobar Islands,AN,2020-06-10,1,0,0,151,0,0
Andaman and Nicobar Islands,AN,2020-06-11,3,0,0,216,0,0
Andaman and Nicobar Islands,AN,2020-06-12,0,0,0,471,0,0
Andaman and Nicobar Islands,AN,2020-06-13,0,0,0,258,0,0
Andaman and Nicobar Islands,AN,2020-06-14,2,0,0,401,0,0
Andaman and Nicobar Islands,AN,2020-06-15,1,0,0,162,0,0
Andaman and Nicobar Islands,AN,2020-06-16,3,0,0,291,0,0
Andaman and Nicobar Islands,AN,2020-06-17,0,0,0,430,0,0
Andaman and Nicobar Islands,AN,2020-06-18,1,2,0,383,0,0
