State,District,Population,Confirmed,Deceased,Recovered,Tested,Vaccinated1,Vaccinated2
AN,Nicobars,36842,0,0,0,0,62,811
AN,North and Middle Andaman,105597,0,0,0,0,90,1839
AN,South Andaman,238142,0,0,0,0,732,8012
AN,Unknown,238142,3,0,5,0,0,0
AP,Anantapur,4083315,38,0,58,0,92803,140903
AP,Chittoor,4170468,516,6,629,0,63824,119541
AP,East Godavari,5151549,604,0,520,0,36973,223236
AP,Guntur,4889230,272,4,619,0,285377,156818
AP,Krishna,4529009,422,9,467,0,75352,230788
AP,Kurnool,4046601,25,0,26,0,178620,73119
AP,Prakasam,3392764,103,3,290,0,137338,130213
AP,S.P.S. Nellore,2966082,155,2,235,0,96973,114393
AP,Srikakulam,2699471,132,0,72,0,18883,129575
AP,Visakhapatnam,4288113,237,1,227,0,65301,207340
AP,Vizianagaram,2342868,53,1,38,0,44847,123576
AP,West Godavari,3934782,234,4,246,0,61021,146562
AP,Y.S.R. Kadapa,2884524,82,0,163,0,65843,90958
AR,Anjaw,21089,0,0,0,0,45,452
AR,Changlang,147951,3,0,3,0,298,3803
AR,East Kameng,78413,0,0,0,0,76,409
AR,East Siang,99019,9,0,10,0,365,2013
AR,Kamle,22256,0,0,0,0,36,185
AR,Kra Daadi,22256,0,0,0,0,5,23
AR,Kurung Kumey,89717,0,0,0,0,27,255
AR,Lepa Rada,89717,0,0,1,0,40,307
AR,Lohit,145538,9,0,3,0,221,1494
AR,Longding,60000,1,0,0,0,46,356
AR,Lower Dibang Valley,53986,14,0,3,0,171,931
AR,Lower Siang,80597,0,0,0,0,37,317
AR,Lower Subansiri,82839,5,0,2,0,85,767
AR,Namsai,95950,4,0,16,0,209,2436
AR,Pakke Kessang,95950,0,0,0,0,25,262
AR,Papum Pare,176385,7,0,12,0,1055,3799
AR,Shi Yomi,13310,1,0,10,0,2,153
AR,Siang,31920,0,0,0,0,40,197
AR,Tawang,49950,12,0,8,0,91,759
AR,Tirap,111997,0,0,2,0,35,631
AR,Upper Dibang Valley,7948,0,0,1,0,3,11
AR,Upper Siang,35289,0,0,2,0,38,411
AR,Upper Subansiri,83205,0,0,0,0,93,1122
AR,West Kameng,87013,1,0,21,0,206,1914
AR,West Siang,112272,0,0,3,0,63,640
AS,Baksa,953773,0,0,0,0,2992,15169
AS,Barpeta,1693190,0,0,0,0,10495,48544
AS,Biswanath,612491,0,0,0,0,5661,35727
AS,Bongaigaon,732639,0,0,0,0,2784,18356
AS,Cachar,1736319,0,0,0,0,26826,21591
AS,Charaideo,1736319,0,0,0,0,1853,16868
AS,Chirang,481818,0,0,0,0,2488,9573
AS,Darrang,908090,0,0,0,0,17453,21800
AS,Dhemaji,688077,0,0,0,0,3423,15318
AS,Dhubri,1948632,0,0,0,0,12450,25644
AS,Dibrugarh,1327748,0,0,0,0,8869,38695
AS,Dima Hasao,213529,0,0,0,0,2532,3737
AS,Goalpara,1008959,0,0,0,0,4013,30725
AS,Golaghat,1058674,0,0,0,0,6525,51417
AS,Hailakandi,659260,0,0,0,0,1724,11247
AS,Hojai,931218,0,0,0,0,6217,36724
AS,Jorhat,1091295,0,0,0,0,3383,39677
AS,Kamrup,1517202,0,0,0,0,10451,45828
AS,Kamrup Metropolitan,1260419,0,0,0,0,6625,38155
AS,Karbi Anglong,965280,0,0,0,0,13744,12778
AS,Karimganj,1217002,0,0,0,0,5088,20659
AS,Kokrajhar,886999,0,0,0,0,3935,19711
AS,Lakhimpur,1040644,0,0,0,0,5870,42164
AS,Majuli,167304,0,0,0,0,1524,7176
AS,Morigaon,957853,0,0,0,0,5298,27861
AS,Nagaon,2826006,0,0,0,0,16396,36734
AS,Nalbari,769919,0,0,0,0,6785,25411
AS,Sivasagar,1150253,0,0,0,0,1946,23104
AS,Sonitpur,1925975,0,0,0,0,8341,48290
AS,South Salmara Mankachar,555114,0,0,0,0,1978,15304
AS,Tinsukia,1316948,0,0,0,0,45002,22410
AS,Udalguri,832769,0,0,0,0,17371,19343
AS,Unknown,832769,2056,24,2215,0,0,0
AS,West Karbi Anglong,300320,0,0,0,0,4593,4186
BR,Araria,2806200,2,0,0,0,51331,69085
BR,Arwal,700843,0,0,0,0,4059,17125
BR,Aurangabad,2511243,0,0,0,0,25561,56431
BR,Banka,2029339,0,0,0,0,24239,34077
BR,Begusarai,2954367,2,0,7,0,33903,65735
BR,Bhagalpur,3032226,1,0,1,0,49875,78088
BR,Bhojpur,2720155,0,0,0,0,31626,53006
BR,Buxar,1707643,0,0,0,0,14794,38792
BR,Darbhanga,3921971,0,0,1,0,39165,82276
BR,East Champaran,5082868,2,0,0,0,29316,84760
BR,Gaya,4379383,0,0,1,0,72504,82490
BR,Gopalganj,2558037,0,0,1,0,31750,70093
BR,Jamui,1756078,0,0,1,0,24440,24005
BR,Jehanabad,1124176,0,0,0,0,12986,27200
BR,Kaimur,1626900,0,0,0,0,19996,28681
BR,Katihar,3068149,0,0,1,0,53448,75733
BR,Khagaria,1657599,0,0,0,0,15402,32372
BR,Kishanganj,1690948,4,0,2,0,24597,25592
BR,Lakhisarai,1000717,0,0,0,0,8894,16437
BR,Madhepura,1994618,1,0,0,0,28832,43563
BR,Madhubani,4476044,3,0,0,0,28535,69785
BR,Munger,1359054,0,0,1,0,7445,33005
BR,Muzaffarpur,4778610,0,0,1,0,40686,80513
BR,Nalanda,2872523,0,0,0,0,36716,66091
BR,Nawada,2216653,1,0,0,0,46619,35295
BR,Patna,5772804,14,0,8,0,35436,159875
BR,Purnia,3273127,0,0,0,0,61212,74531
BR,Rohtas,2962593,2,0,0,0,40918,59698
BR,Saharsa,1897102,0,0,0,0,106392,80718
BR,Samastipur,4254782,2,0,2,0,48167,64119
BR,Saran,3943098,5,0,2,0,41734,82407
BR,Sheikhpura,634927,0,0,0,0,4942,10739
BR,Sheohar,656916,0,0,2,0,2946,7111
BR,Sitamarhi,3419622,0,0,0,0,43474,60677
BR,Siwan,3318176,0,0,0,0,18385,69069
BR,Supaul,2228397,0,0,0,0,35486,71754
BR,Vaishali,3495021,1,0,0,0,45426,59038
BR,West Champaran,3935042,0,0,0,0,42709,52019
CH,Chandigarh,1055450,28,0,20,10726,3680,21641
CT,Balod,826165,2,0,1,0,5983,9451
CT,Baloda Bazar,1305343,0,0,3,0,25353,17419
CT,Balrampur,598855,0,0,0,0,21912,17709
CT,Bametara,197035,1,0,0,0,14367,7690
CT,Bastar,1302253,24,0,2,0,10696,9616
CT,Bijapur,229832,5,0,3,0,1251,913
CT,Bilaspur,1961922,17,2,8,0,18318,50320
CT,Dakshin Bastar Dantewada,533638,6,0,2,0,2225,5410
CT,Dhamtari,799199,2,0,2,0,6188,7319
CT,Durg,3343079,26,1,18,0,17012,22719
CT,Gariaband,597653,1,0,0,0,9982,5872
CT,Gaurela Pendra Marwahi,597653,1,0,0,0,4045,4587
CT,Janjgir Champa,1620632,19,1,8,0,45568,30991
CT,Jashpur,852043,10,0,6,0,10933,13098
CT,Kabeerdham,584667,1,0,0,0,17511,17876
CT,Kondagaon,578326,4,0,1,0,8359,7999
CT,Korba,1206563,23,0,11,0,24033,24911
CT,Koriya,659039,6,1,0,0,15621,5751
CT,Mahasamund,1032275,0,0,1,0,4416,72466
CT,Mungeli,701707,1,0,2,0,15254,12880
CT,Narayanpur,140206,0,0,1,0,3057,1858
CT,Other State,140206,4,0,3,0,0,0
CT,Raigarh,1493627,8,0,8,0,5114,122838
CT,Raipur,4062160,33,0,15,0,10441,40794
CT,Rajnandgaon,1537520,5,0,3,0,15753,25270
CT,Sukma,249000,1,0,4,0,3208,5401
CT,Surajpur,660280,0,0,0,0,13506,13873
CT,Surguja,420661,2,0,0,0,29827,33226
CT,Uttar Bastar Kanker,748593,3,0,1,0,17930,14621
DL,Delhi,19814000,267,0,239,395086,160323,269146
DN,Dadra and Nagar Haveli,343709,0,0,0,0,870,6759
DN,Daman,191173,0,0,2,0,1880,6793
DN,Diu,52074,0,0,0,0,52,690
GA,North Goa,817761,0,0,0,0,4007,23958
GA,South Goa,639962,0,0,0,0,4401,22504
GA,Unknown,639962,222,6,409,0,0,0
GJ,Ahmedabad,7208200,22,0,14,0,47316,169891
GJ,Amreli,1513614,0,0,0,0,5473,39398
GJ,Anand,2090276,6,0,1,0,33012,46764
GJ,Aravalli,1051746,0,0,0,0,1439,32201
GJ,Banaskantha,3116045,0,0,0,0,16080,82985
GJ,Bharuch,1550822,0,0,0,0,21270,45926
GJ,Bhavnagar,2877961,1,0,0,0,19467,81374
GJ,Botad,656005,0,0,0,0,929,14235
GJ,Chhota Udaipur,1071831,0,0,0,0,699,19920
GJ,Dahod,2126558,0,0,0,0,626,53547
GJ,Dang,226769,0,0,0,0,4140,3726
GJ,Devbhumi Dwarka,752484,0,0,0,0,4666,24924
GJ,Gandhinagar,1387478,0,0,0,0,5475,36333
GJ,Gir Somnath,1217477,2,0,2,0,8524,15341
GJ,Jamnagar,2159130,5,0,3,0,9406,37158
GJ,Junagadh,2742291,6,0,2,0,2660,71531
GJ,Kheda,2298934,0,0,1,0,11668,73838
GJ,Kutch,2090313,5,0,1,0,8920,49662
GJ,Mahisagar,994624,0,0,0,0,62,16517
GJ,Mehsana,2027727,0,0,1,0,7523,48550
GJ,Morbi,960329,0,0,0,0,9950,20297
GJ,Narmada,590379,0,0,2,0,546,13890
GJ,Navsari,1330711,5,0,13,0,1852,29095
GJ,Panchmahal,2388267,0,0,0,0,7294,44832
GJ,Patan,1342746,0,0,0,0,3369,37745
GJ,Porbandar,586062,0,0,0,0,1140,13063
GJ,Rajkot,3157676,7,0,7,0,17510,53546
GJ,Sabarkantha,2427346,1,0,0,0,4232,45789
GJ,Surat,4996391,38,1,30,0,35083,115694
GJ,Surendranagar,1755873,0,0,0,0,18641,79795
