State,District,Population,Confirmed,Deceased,Recovered,Tested,Vaccinated1,Vaccinated2
AN,North and Middle Andaman,105597,0,0,0,0,0,8
AN,South Andaman,238142,0,0,0,0,3,28
AP,Anantapur,4083315,4,0,5,0,4575,5370
AP,Chittoor,4170468,64,1,87,0,878,1306
AP,East Godavari,5151549,87,0,121,0,41,237
AP,Guntur,4889230,33,0,198,0,1119,1248
AP,Krishna,4529009,46,1,71,0,51,337
AP,Kurnool,4046601,6,0,3,0,4716,1538
AP,Prakasam,3392764,6,0,37,0,3292,5872
AP,S.P.S. Nellore,2966082,34,1,23,0,2724,1639
AP,Srikakulam,2699471,19,0,20,0,2,6
AP,Visakhapatnam,4288113,27,0,30,0,1309,2311
AP,Vizianagaram,2342868,7,1,11,0,601,1855
AP,West Godavari,3934782,40,0,44,0,878,1884
AP,Y.S.R. Kadapa,2884524,12,0,25,0,1005,1101
AR,Changlang,147951,0,0,1,0,0,0
AR,East Kameng,78413,0,0,0,0,0,1
AR,East Siang,99019,0,0,5,0,0,0
AR,Lepa Rada,89717,0,0,0,0,6,54
AR,Lower Dibang Valley,53986,0,0,0,0,19,1
AR,Lower Subansiri,82839,0,0,0,0,2,36
AR,Pakke Kessang,95950,0,0,0,0,0,14
AR,Papum Pare,176385,1,0,1,0,0,0
AR,West Kameng,87013,0,0,7,0,15,89
AR,West Siang,112272,0,0,-5,0,0,0
AS,Baksa,953773,0,0,0,0,39,172
AS,Barpeta,1693190,0,0,0,0,369,1035
AS,Biswanath,612491,0,0,0,0,507,1655
AS,Bongaigaon,732639,0,0,0,0,85,1287
AS,Cachar,1736319,0,0,0,0,2149,966
AS,Charaideo,1736319,0,0,0,0,3,26
AS,Chirang,481818,0,0,0,0,22,89
AS,Darrang,908090,0,0,0,0,365,270
AS,Dhemaji,688077,0,0,0,0,55,47
AS,Dhubri,1948632,0,0,0,0,1042,1906
AS,Dibrugarh,1327748,0,0,0,0,699,4007
AS,Dima Hasao,213529,0,0,0,0,160,59
AS,Goalpara,1008959,0,0,0,0,47,81
AS,Golaghat,1058674,0,0,0,0,504,2676
AS,Hailakandi,659260,0,0,0,0,88,705
AS,Hojai,931218,0,0,0,0,512,2979
AS,Jorhat,1091295,0,0,0,0,225,2154
AS,Kamrup,1517202,0,0,0,0,231,253
AS,Kamrup Metropolitan,1260419,0,0,0,0,359,1713
AS,Karbi Anglong,965280,0,0,0,0,342,280
AS,Karimganj,1217002,0,0,0,0,331,1382
AS,Kokrajhar,886999,0,0,0,0,162,823
AS,Lakhimpur,1040644,0,0,0,0,148,1555
AS,Majuli,167304,0,0,0,0,36,166
